breed,breed_size,sex,age,weight_lbs,spay_neuter_status,daily_activity_level,diet,food_brand,daily_walk_distance_miles,other_pets_in_household,medications,seizures,hours_of_sleep,play_time_hrs,owner_activity_level,annual_vet_visits,average_temperature_f,healthy
Beagle,Small,Male,3,31.8,None,Active,Home cooked,Special,3,No,Yes,No,12,1,None,0,76,Yes
Siberian Husky,Medium,Male,2,21,Neutered,Moderate,Home cooked,Special,0,Yes,Yes,No,10,1,Low,1,76,Yes
German Shepherd,Large,Female,8,42,None,Very Active,Hard food,Nutro,0,No,Yes,No,11,2,None,2,59,Yes
Dachshund,Small,Male,9,60,None,None,Hard food,Pedigree,1,No,No,No,11,2,Moderate,1,51,No
Bulldog,Medium,Male,1,46,Neutered,Low,Special diet,Purina,3,No,No,No,11,3,Moderate,2,56,Yes
Dachshund,Small,Female,9,48.2,Neutered,Moderate,Hard food,Blue Buffalo,1,Yes,Yes,No,10,3,Moderate,1,69,No
Australian Shepherd,Medium,Male,8,75,Spayed,Moderate,Home cooked,Special,2,Yes,No,No,11,3,Active,1,100,Yes
Golden Retriever,Large,Male,3,38,Spayed,Moderate,Hard food,Hill's Science,4,No,No,No,11,1,Moderate,2,53,Yes
Rottweiler,Large,Male,5,49,Neutered,Very Active,Special diet,Royal Canin,2,Yes,No,No,10,2,Active,4,77,Yes
Chihuahua,Small,Male,2,42,Neutered,Very Active,Wet food,Purina,3,No,Yes,No,12,2,None,4,91,Yes
Bulldog,Medium,Female,13,49,Spayed,None,Wet food,Purina,2,Yes,Yes,No,12,2,Active,0,100,No
Poodle,Small,Female,4,65,None,Moderate,Home cooked,Special,1,Yes,Yes,No,11,0,Moderate,1,88,Yes
Rottweiler,Large,Female,2,33,Neutered,None,Wet food,Blue Buffalo,3,No,Yes,No,11,2,Moderate,2,76,Yes
Beagle,Small,Male,12,46,Neutered,Active,Home cooked,Special,1,No,Yes,No,10,2,Low,3,87,Yes
Yorkshire Terrier,Small,Male,3,28,Spayed,Low,Home cooked,Special,3,Yes,No,No,11,1,Moderate,4,46,Yes
Golden Retriever,Large,Male,8,44,Neutered,Active,Wet food,Purina,1,Yes,No,No,12,3,None,3,44,Yes
Beagle,Small,Male,1,44,Spayed,Very Active,Home cooked,Special,3,No,Yes,No,13,3,Moderate,0,69,Yes
Golden Retriever,Large,Female,3,51,Spayed,None,Hard food,Pedigree,1,Yes,Yes,No,11,2,Low,2,58,Yes
Boxer,Medium,Male,11,48,Spayed,Moderate,Special diet,Wellness,3,Yes,No,Yes,12,2,None,0,71,No
Yorkshire Terrier,Small,Male,5,52,Neutered,Active,Hard food,Nutro,2,Yes,Yes,No,11,0,Moderate,1,82,Yes
Bulldog,Medium,Male,8,66,Neutered,Low,Home cooked,Special,2,Yes,Yes,No,8,2,Low,1,72,Yes
Rottweiler,Large,Female,2,53,Spayed,Active,Wet food,Hill's Science,5,Yes,No,No,12,1,Active,1,58,Yes
Great Dane,Large,Female,5,59,Neutered,Very Active,Wet food,Royal Canin,4,No,Yes,No,10,2,None,2,51,Yes
German Shepherd,Large,Female,2,53,Neutered,Very Active,Home cooked,Special,1,Yes,Yes,Yes,10,1,Low,2,59,Yes
German Shepherd,Large,Female,12,25,Neutered,Active,Special diet,Wellness,2,Yes,Yes,No,12,0,None,2,54,Yes
Yorkshire Terrier,Small,Female,1,45,Spayed,Low,Special diet,Wellness,2,Yes,Yes,No,10,3,Active,4,40,Yes
Boxer,Medium,Female,4,49,Neutered,Active,Special diet,Wellness,0,No,Yes,No,9,1,Active,1,58,Yes
Doberman,Large,Male,12,72,Neutered,Low,Hard food,Purina,4,No,Yes,No,11,1,None,1,51,No
Bulldog,Medium,Female,6,60,None,Moderate,Hard food,Royal Canin,5,Yes,Yes,No,11,0,Moderate,2,67,No
Chihuahua,Small,Male,6,57,Spayed,Very Active,Wet food,Wellness,4,No,Yes,No,10,2,Very Active,2,59.4,Yes
Great Dane,Large,Female,5,54,None,Low,Special diet,Pedigree,2,Yes,Yes,No,10,2,Active,3,71,Yes
Dachshund,Small,Female,5,45,None,Low,Home cooked,Special,0,No,No,No,12,1,None,1,76,Yes
Dachshund,Small,Female,12,57,None,Very Active,Wet food,Nutro,3,No,Yes,No,9,2,Active,3,80,No
Australian Shepherd,Medium,Male,4,41,None,Active,Special diet,Royal Canin,3,No,No,No,10,1,Very Active,1,77,Yes
Boxer,Medium,Female,3,59,Neutered,Low,Special diet,Nutro,1,No,No,No,10,1,None,2,68,Yes
Boxer,Medium,Male,11,58,Spayed,Very Active,Special diet,Purina,2,No,Yes,No,9,2,Low,1,89,Yes
Beagle,Small,Male,6,47,Neutered,Very Active,Hard food,Blue Buffalo,3,No,Yes,No,12,0,Active,3,69,Yes
Siberian Husky,Medium,Male,4,73,Spayed,Moderate,Hard food,Blue Buffalo,0,Yes,No,No,10,1,Moderate,2,74,Yes
German Shepherd,Large,Male,12,50,None,Active,Special diet,Pedigree,4,No,Yes,No,9,1,Moderate,0,70,No
Siberian Husky,Medium,Female,3,33,Neutered,Low,Wet food,Hill's Science,3,No,Yes,No,12,4,Active,1,69,Yes
Golden Retriever,Large,Male,7,83,None,Active,Special diet,Iams,2,Yes,Yes,No,10,2,Low,1,67,Yes
Doberman,Large,Male,10,79,Spayed,Moderate,Special diet,Pedigree,1,Yes,No,Yes,10,2,Moderate,4,78,Yes
Golden Retriever,Large,Female,10,34,None,Moderate,Home cooked,Special,2,No,No,No,11,0,None,3,51,Yes
Labrador Retriever,Large,Male,9,64,None,Active,Home cooked,Special,3,No,No,No,14,0,Very Active,3,43,Yes
Chihuahua,Small,Male,12,47,None,Moderate,Home cooked,Special,3,Yes,Yes,No,10,2,None,0,82,No
Bulldog,Medium,Male,6,69,Spayed,Moderate,Home cooked,Special,1,Yes,No,No,11,2,Active,2,88,Yes
Australian Shepherd,Medium,Female,9,25,None,Moderate,Home cooked,Special,3,Yes,Yes,No,12,2,Active,4,88,No
Beagle,Small,Female,11,64,Spayed,None,Home cooked,Special,6,No,No,No,12,1,Active,0,67,Yes
Golden Retriever,Large,Female,8,67,Spayed,Very Active,Hard food,Blue Buffalo,1,No,No,No,9,2,None,0,85,Yes
Australian Shepherd,Medium,Female,8,46,Spayed,Very Active,Wet food,Blue Buffalo,4,Yes,Yes,No,11,1,Active,3,85,Yes
Chihuahua,Small,Male,9,41,None,Active,Wet food,Royal Canin,2,Yes,No,No,10,2,Low,0,65,No
Rottweiler,Large,Male,6.6,62,None,None,Hard food,Blue Buffalo,0,Yes,No,No,12,1,Active,2,54,No
Great Dane,Large,Female,3,39,Spayed,None,Hard food,Nutro,1,Yes,Yes,No,11,2,Very Active,0,62,No
Yorkshire Terrier,Small,Female,9,63,Spayed,None,Home cooked,Special,2,No,No,No,13,2,Moderate,4,56,Yes
German Shepherd,Large,Male,11,44,Spayed,None,Wet food,Iams,5,Yes,Yes,No,11,2,None,1,74,No
Labrador Retriever,Large,Male,13,52,Spayed,Low,Home cooked,Special,4,Yes,No,No,11,1,Low,1,66,Yes
Yorkshire Terrier,Small,Male,13,38,Spayed,Low,Hard food,Purina,1,Yes,No,No,14,1,None,0,73,No
Dachshund,Small,Female,13,30,Neutered,None,Home cooked,Special,0,No,Yes,No,11,1,Active,4,73,Yes
Beagle,Small,Female,12,62,Spayed,Active,Special diet,Hill's Science,3,No,Yes,No,11,3,Low,2,58,Yes
Dachshund,Small,Male,4,51,None,Moderate,Home cooked,Special,2,Yes,Yes,No,12,2,Very Active,1,75,Yes
Yorkshire Terrier,Small,Male,8,55,None,Active,Hard food,Pedigree,5,Yes,Yes,No,11,0,Active,0,69,No
Siberian Husky,Medium,Female,2,35,Neutered,Moderate,Special diet,Hill's Science,3,No,Yes,No,11,1,None,2,71,Yes
Siberian Husky,Medium,Male,1,69,Spayed,Moderate,Wet food,Hill's Science,3,No,No,No,9,2,Active,3,100,Yes
Golden Retriever,Large,Female,3,45,None,None,Hard food,Royal Canin,4,No,Yes,No,12,3,None,1,63,No
German Shepherd,Large,Female,3,50,Spayed,Active,Wet food,Pedigree,1,Yes,Yes,No,13,2,Low,3,61,Yes
Golden Retriever,Large,Male,12,52,Neutered,None,Special diet,Nutro,2,Yes,No,No,10,1,Very Active,1,64,Yes
Poodle,Small,Male,8,26,Neutered,Very Active,Hard food,Royal Canin,4,No,No,No,12,0,Active,1,68,Yes
Boxer,Medium,Male,6,69,Spayed,Moderate,Home cooked,Special,2,Yes,Yes,No,12,2,Low,0,59,Yes
Doberman,Large,Female,13,85,Spayed,Low,Hard food,Wellness,1,Yes,Yes,No,11,0,Low,1,64,No
Siberian Husky,Medium,Female,10,27,None,Very Active,Home cooked,Special,4,No,Yes,No,10,1,Low,1,69,Yes
Golden Retriever,Large,Male,9,53,Spayed,Moderate,Home cooked,Special,1,Yes,Yes,No,12,1,None,0,72,No
Dachshund,Small,Female,11,58,Spayed,Very Active,Special diet,Blue Buffalo,1,Yes,No,No,11,2,Low,2,74,Yes
Siberian Husky,Medium,Male,5,58,None,Active,Home cooked,Special,5,No,No,No,8,2,Active,1,48,Yes
Yorkshire Terrier,Small,Female,10,42,Spayed,Very Active,Special diet,Wellness,3,No,Yes,No,12,1,Low,0,81,Yes
Beagle,Small,Male,11,39,Spayed,Moderate,Wet food,Purina,4,Yes,Yes,No,10,3,Very Active,1,62,No
Chihuahua,Small,Male,13,24,Neutered,None,Wet food,Hill's Science,0,No,No,No,10,1,Active,0,63,No
Chihuahua,Small,Female,8,65,None,Moderate,Hard food,Pedigree,0,Yes,Yes,No,11,1,Low,0,59,No
Doberman,Large,Female,10,57,None,Low,Special diet,Hill's Science,2,No,Yes,No,11,1,Active,0,60,No
Australian Shepherd,Medium,Female,11,66,None,Moderate,Hard food,Pedigree,4,Yes,Yes,No,12,2,Very Active,2,69,No
Doberman,Large,Female,5,59,Neutered,Very Active,Hard food,Purina,1,No,No,No,9,3,Very Active,1,53,Yes
Dachshund,Small,Male,11,44,Spayed,None,Hard food,Wellness,5,Yes,Yes,No,10,2,None,0,48,No
Boxer,Medium,Male,12,46,Neutered,Very Active,Hard food,Royal Canin,3,Yes,No,No,10,1,Very Active,2,65,Yes
Boxer,Medium,Male,5,46.8,Spayed,Moderate,Wet food,Nutro,2,No,No,No,11,1,Very Active,3,49,Yes
Poodle,Small,Female,7,43,Spayed,Moderate,Hard food,Blue Buffalo,2,No,Yes,No,11,1,None,1,44,Yes
Boxer,Medium,Female,1,58,Neutered,Low,Special diet,Nutro,3,No,Yes,No,11,2,Low,1,95,Yes
Bulldog,Medium,Female,13,42,Spayed,Low,Special diet,Hill's Science,3,Yes,Yes,No,11,0,Very Active,2,58,Yes
Australian Shepherd,Medium,Female,8,52,None,Low,Wet food,Hill's Science,0,Yes,No,No,12,2,Low,1,65,Yes
German Shepherd,Large,Female,3,52,None,Very Active,Special diet,Royal Canin,3,Yes,No,No,11,0,None,3,66,Yes
Labrador Retriever,Large,Male,1,73,None,Low,Special diet,Pedigree,3,No,Yes,No,11,3,Active,1,60,No
Poodle,Small,Male,12,97,Neutered,Active,Home cooked,Special,2,Yes,Yes,No,11,2,Very Active,2,53,Yes
Rottweiler,Large,Male,2,58,Spayed,Low,Special diet,Purina,1,No,Yes,No,13,2,Active,0,66,Yes
Yorkshire Terrier,Small,Male,1,58,Neutered,None,Special diet,Iams,3,Yes,No,Yes,12,2,Very Active,2,58,Yes
Boxer,Medium,Male,13,49,None,Moderate,Wet food,Hill's Science,4,No,Yes,No,14,0,Low,2,49,No
Chihuahua,Small,Male,12,40,Neutered,Very Active,Hard food,Nutro,3,Yes,No,No,10,1,Moderate,3,70,Yes
Boxer,Medium,Male,3,36.2,None,None,Home cooked,Special,3,No,No,No,11,0,Very Active,1,75,Yes
Chihuahua,Small,Male,10,31,Neutered,Active,Home cooked,Special,3,Yes,No,No,10,2,None,2,56,Yes
Australian Shepherd,Medium,Male,6,44,None,Moderate,Home cooked,Special,4,Yes,No,No,11,1,None,0,71,No
Rottweiler,Large,Female,3,66,Spayed,Moderate,Wet food,Pedigree,0,Yes,No,No,10,1,None,1,48,Yes
Yorkshire Terrier,Small,Male,4,71,Spayed,Active,Home cooked,Special,5,Yes,Yes,Yes,9,2,Active,0,69,Yes
Beagle,Small,Female,8,41.4,Neutered,Moderate,Hard food,Wellness,3,Yes,Yes,No,11,1,Low,0,54,No
Siberian Husky,Medium,Male,2,44,Neutered,Active,Hard food,Royal Canin,4,Yes,Yes,No,13,2,Low,1,77.4,Yes
Siberian Husky,Medium,Female,3,64,None,Moderate,Special diet,Wellness,4,Yes,Yes,No,14,0,Very Active,3,86,Yes
Poodle,Small,Female,9,82,Spayed,Moderate,Hard food,Royal Canin,2,Yes,No,No,10,1,None,2,70,No
Chihuahua,Small,Male,8,55,Neutered,Active,Home cooked,Special,2,No,No,No,11,1,Active,3,73,Yes
Australian Shepherd,Medium,Female,7,40,Spayed,Very Active,Wet food,Purina,2,Yes,No,Yes,14,1,None,2,79,Yes
Dachshund,Small,Female,7,41,Neutered,Moderate,Hard food,Royal Canin,3,Yes,No,No,12,1,Moderate,2,58,Yes
Australian Shepherd,Medium,Male,5,23,None,Low,Special diet,Pedigree,4,No,Yes,No,10,0,Moderate,2,61,No
Beagle,Small,Female,7,25,Neutered,Low,Special diet,Pedigree,1,Yes,Yes,No,10,1,Very Active,1,76,Yes
Bulldog,Medium,Female,6,43,Spayed,Low,Wet food,Hill's Science,1,No,Yes,No,12,0,Active,1,36,Yes
Golden Retriever,Large,Female,9,73,None,Moderate,Hard food,Pedigree,3,Yes,No,No,10,1,Moderate,2,41,No
Poodle,Small,Male,10,47,Neutered,Active,Wet food,Blue Buffalo,3,No,No,No,13,1,Very Active,1,79,Yes
German Shepherd,Large,Male,10,81,Neutered,Active,Hard food,Nutro,0,Yes,Yes,No,13,2,Active,2,71,No
Dachshund,Small,Male,2,52,None,None,Home cooked,Special,1,No,No,No,12,0,Active,1,42,Yes
Rottweiler,Large,Female,2,66,Spayed,Low,Wet food,Hill's Science,3,No,No,No,11,2,Moderate,1,88,Yes
Bulldog,Medium,Male,3,33,Neutered,None,Special diet,Purina,0,No,No,No,11,0,Very Active,1,54,Yes
Australian Shepherd,Medium,Male,8,54.4,Neutered,Very Active,Hard food,Pedigree,2,Yes,No,No,8,1,Very Active,2,73,Yes
Rottweiler,Large,Female,2,98,Spayed,Active,Hard food,Royal Canin,2,Yes,Yes,No,10,3,Very Active,2,65,Yes
Yorkshire Terrier,Small,Male,9,63,Spayed,Moderate,Hard food,Blue Buffalo,5,No,No,No,11,2,Very Active,0,49,No
Labrador Retriever,Large,Male,1,49,Neutered,Very Active,Home cooked,Special,0,No,No,No,13,0,None,4,82,Yes
Beagle,Small,Male,1,31,Neutered,Very Active,Home cooked,Special,4,Yes,No,No,10,1,Active,3,71,Yes
Rottweiler,Large,Male,1,32.4,None,Moderate,Wet food,Royal Canin,5,Yes,No,No,12,0,Active,4,69,No
Australian Shepherd,Medium,Male,13,55,Spayed,Moderate,Special diet,Blue Buffalo,3,Yes,No,No,10,2,Moderate,0,57,No
Labrador Retriever,Large,Female,13,44,Spayed,Moderate,Wet food,Iams,1,Yes,Yes,No,10,4,Active,1,82,No
Boxer,Medium,Female,6,37,None,Active,Wet food,Pedigree,3,Yes,No,No,12,2,None,0,61,Yes
Yorkshire Terrier,Small,Male,7,55,None,None,Hard food,Wellness,1,No,No,No,9,2,Low,2,46,Yes
Boxer,Medium,Male,6,31,Spayed,Moderate,Hard food,Royal Canin,4,No,Yes,No,11,0,Very Active,0,39,No
Dachshund,Small,Male,7,25,Neutered,Very Active,Special diet,Royal Canin,1,Yes,Yes,No,10,2,None,1,50,Yes
Labrador Retriever,Large,Male,6,71,Spayed,Active,Special diet,Purina,5,No,Yes,No,10,2,Very Active,1,62,Yes
Beagle,Small,Male,5,68,Spayed,Very Active,Wet food,Nutro,1,No,No,No,10,2,Very Active,4,45,Yes
Chihuahua,Small,Male,1,62,None,Active,Special diet,Wellness,2,Yes,Yes,No,12,4,Moderate,2,72,Yes
Boxer,Medium,Male,11,20,None,None,Special diet,Wellness,2,Yes,No,No,11,2,Low,1,80,No
Labrador Retriever,Large,Female,11,69,Spayed,Moderate,Home cooked,Special,3,No,Yes,Yes,11,3,Very Active,2,71.4,No
Rottweiler,Large,Male,12,41,Neutered,Low,Wet food,Wellness,4,No,Yes,No,12,1,Very Active,1,61,No
Great Dane,Large,Female,2,62,Neutered,Moderate,Wet food,Hill's Science,5,Yes,Yes,No,14,2,None,1,72,Yes
Dachshund,Small,Male,10,45,Spayed,Active,Hard food,Blue Buffalo,4,No,No,No,11,4,Active,1,62,Yes
Rottweiler,Large,Male,11,47,Neutered,None,Special diet,Blue Buffalo,3,No,Yes,No,10,2,Moderate,2,51,Yes
German Shepherd,Large,Male,9,33,Neutered,None,Wet food,Blue Buffalo,0,Yes,No,No,10,1,Very Active,0,78,No
Bulldog,Medium,Female,12,55,None,Low,Special diet,Iams,2,No,Yes,No,10,2,Very Active,1,92,No
Yorkshire Terrier,Small,Male,8,33,None,Low,Wet food,Pedigree,2,Yes,No,No,10,0,Low,1,67,Yes
Chihuahua,Small,Male,4.8,59,Spayed,Very Active,Wet food,Wellness,3,No,Yes,No,8,1,Low,2,56,Yes
Golden Retriever,Large,Male,5,83,Spayed,None,Wet food,Nutro,3,Yes,Yes,No,10,3,None,0,96,No
Yorkshire Terrier,Small,Female,8,40,Spayed,Very Active,Hard food,Nutro,0,No,No,No,10,3,Very Active,2,50,Yes
Chihuahua,Small,Male,9,38,Spayed,Low,Hard food,Iams,1,Yes,Yes,No,12,2,None,1,55,No
Boxer,Medium,Male,10,55,None,Moderate,Wet food,Hill's Science,3,No,No,No,12,0,Active,3,65,No
Australian Shepherd,Medium,Female,1,43,Spayed,Very Active,Wet food,Purina,0,No,No,No,8,1,Low,1,90,Yes
Chihuahua,Small,Female,2,58,Neutered,None,Home cooked,Special,3,No,No,No,10,1,Moderate,3,85,Yes
Yorkshire Terrier,Small,Male,11,42,None,Low,Hard food,Nutro,1,Yes,No,No,11,0,None,0,50,No
Dachshund,Small,Male,4,51,Neutered,Active,Wet food,Iams,2,Yes,Yes,No,10,2,Low,4,51,Yes
Chihuahua,Small,Female,6,54,Neutered,Very Active,Hard food,Blue Buffalo,1,No,Yes,No,10,0,Very Active,4,95,Yes
Chihuahua,Small,Male,3,75,Spayed,Active,Special diet,Pedigree,1,Yes,Yes,No,12,2,Low,0,79,Yes
Yorkshire Terrier,Small,Female,3,74,None,Moderate,Home cooked,Special,4,No,No,No,13,2,Low,3,69,Yes
Rottweiler,Large,Female,4,60,Neutered,Moderate,Home cooked,Special,3,No,Yes,No,12,1,Active,1,48,Yes
Siberian Husky,Medium,Male,5,42,Spayed,None,Home cooked,Special,1,No,No,No,9,2,Active,1,67,Yes
Bulldog,Medium,Female,10,37,None,Moderate,Special diet,Royal Canin,1,Yes,Yes,No,9,1,Low,0,51,No
Poodle,Small,Male,11,67,None,Moderate,Special diet,Wellness,4,Yes,No,No,13,3,None,0,50,No
Australian Shepherd,Medium,Female,1,76,Spayed,Very Active,Special diet,Nutro,1,No,No,No,11,1,Active,1,86,Yes
Yorkshire Terrier,Small,Female,6,53,Neutered,Low,Special diet,Blue Buffalo,2,No,Yes,No,12,1,Very Active,2,59,Yes
Dachshund,Small,Male,1,39,Neutered,None,Hard food,Purina,3,Yes,No,Yes,11,0,Active,1,54,No
Dachshund,Small,Female,5,58,Spayed,Moderate,Home cooked,Special,1,Yes,No,No,10,2,Very Active,1,76,Yes
Bulldog,Medium,Male,8,44,Neutered,Low,Wet food,Blue Buffalo,4,Yes,Yes,No,12,2,Active,1,84,Yes
Rottweiler,Large,Female,6,47,None,Low,Hard food,Hill's Science,5,No,Yes,No,10,2,Very Active,0,83,No
Doberman,Large,Female,12,53,None,None,Home cooked,Special,2,Yes,No,No,11,2,Low,0,49,No
Golden Retriever,Large,Female,6,76,Spayed,Very Active,Wet food,Pedigree,4,No,Yes,No,12,2,Active,0,72,Yes
Beagle,Small,Female,1,55,None,Active,Special diet,Iams,1,No,No,No,11,3,Moderate,1,69,Yes
Chihuahua,Small,Female,13,52,None,Active,Hard food,Pedigree,6,Yes,No,No,8,1,Very Active,0,75,No
Dachshund,Small,Female,5,40,Spayed,Moderate,Home cooked,Special,2,No,No,No,11,2,None,1,74,Yes
German Shepherd,Large,Female,7,49,Spayed,Moderate,Home cooked,Special,5,No,Yes,No,10,1,Moderate,3,42,Yes
Bulldog,Medium,Male,8,34,Spayed,None,Hard food,Purina,3,No,Yes,No,10,0,None,1,48.6,Yes
German Shepherd,Large,Male,2,45,Spayed,Active,Home cooked,Special,3,Yes,No,No,12,3,Moderate,1,77,Yes
Poodle,Small,Female,4,32,None,Low,Hard food,Wellness,3,Yes,No,No,13,1,None,3,86,Yes
Boxer,Medium,Male,5,47,None,None,Hard food,Blue Buffalo,2,Yes,No,No,10,3,Moderate,1,80,Yes
German Shepherd,Large,Male,1,64,None,Active,Wet food,Iams,1,No,No,No,10,3,Moderate,1,76,Yes
Rottweiler,Large,Female,11,75,Spayed,Very Active,Wet food,Royal Canin,1,No,No,No,14,1,Very Active,1,54,Yes
Bulldog,Medium,Female,6,67,None,Moderate,Hard food,Iams,5,No,No,No,10,1,Very Active,3,48,Yes
Golden Retriever,Large,Male,4,56,Neutered,Active,Special diet,Pedigree,4,No,Yes,No,13,2,Very Active,1,65,Yes
German Shepherd,Large,Male,1,48,Neutered,None,Special diet,Royal Canin,5,No,No,No,12,2,Very Active,1,75,Yes
Poodle,Small,Female,8,78,Neutered,Moderate,Hard food,Nutro,2,No,No,No,13,2,Moderate,0,56,Yes
Great Dane,Large,Female,4,57,Neutered,Low,Special diet,Pedigree,1,Yes,Yes,No,12,0,Active,0,60,Yes
Poodle,Small,Male,10,45,Neutered,Very Active,Special diet,Royal Canin,2,Yes,No,No,11,2,None,1,69,Yes
Rottweiler,Large,Male,9,58,Spayed,Active,Special diet,Blue Buffalo,0,Yes,No,No,10,2,Moderate,1,43,Yes
German Shepherd,Large,Male,9,50,Neutered,Very Active,Home cooked,Special,2,Yes,No,No,12,2,Moderate,3,62,Yes
Bulldog,Medium,Female,2,67,None,Low,Home cooked,Special,4,No,Yes,No,11,0,Low,0,48,No
Siberian Husky,Medium,Male,12,58,None,Moderate,Hard food,Royal Canin,2,Yes,Yes,No,10,2,Active,1,56,No
Doberman,Large,Female,11,42,None,None,Home cooked,Special,4,No,Yes,No,10,2,Very Active,2,97,No
Golden Retriever,Large,Female,6,53,Neutered,Low,Hard food,Pedigree,3,No,No,No,10,1,Very Active,1,45,Yes
Bulldog,Medium,Female,4,66,None,Low,Special diet,Hill's Science,4,No,Yes,No,10,2,None,0,60,No
German Shepherd,Large,Male,11,50,Spayed,None,Special diet,Pedigree,1,Yes,No,No,10,1,Active,1,51,Yes
Bulldog,Medium,Female,7,55,Neutered,Moderate,Home cooked,Special,0,Yes,Yes,No,10,2,Very Active,0,61,Yes
Golden Retriever,Large,Male,13,74,None,Moderate,Hard food,Hill's Science,2,No,Yes,No,12,3,Active,3,48,No
Poodle,Small,Female,10,54,Neutered,Low,Special diet,Purina,3,No,No,No,9,2,Moderate,4,77,Yes
Yorkshire Terrier,Small,Female,2,42,Spayed,Moderate,Special diet,Hill's Science,4,Yes,Yes,No,11,2,Active,2,54,Yes
Chihuahua,Small,Female,3,45,Spayed,Moderate,Special diet,Pedigree,5,No,No,No,13,1,Low,2,71,Yes
Chihuahua,Small,Female,8,23,Neutered,Active,Home cooked,Special,5,Yes,No,No,12,1,Low,2,66,Yes
Australian Shepherd,Medium,Female,4,56,Neutered,Moderate,Wet food,Hill's Science,5,Yes,No,Yes,10,1,Low,1,73,Yes
Australian Shepherd,Medium,Female,13,51,None,Very Active,Home cooked,Special,0,No,No,No,12,2,Active,0,40,Yes
Poodle,Small,Male,1,73,Spayed,Very Active,Wet food,Blue Buffalo,4,Yes,No,No,10,0,Moderate,2,73,Yes
Yorkshire Terrier,Small,Male,2,78,Neutered,Active,Home cooked,Special,4,Yes,No,No,11,3,Very Active,2,71,Yes
Beagle,Small,Male,8,36,Spayed,Low,Wet food,Pedigree,2,No,No,No,11,0,None,2,49,Yes
Doberman,Large,Male,9,68,Spayed,Active,Wet food,Hill's Science,2,Yes,No,No,9,2,Active,1,74,Yes
Australian Shepherd,Medium,Male,12,65,Neutered,None,Special diet,Wellness,1,No,Yes,No,12,1,Low,1,52,Yes
Dachshund,Small,Female,11,76,None,Active,Home cooked,Special,1,Yes,Yes,No,10,1,Moderate,3,60,Yes
Great Dane,Large,Female,10,67,Spayed,Low,Wet food,Blue Buffalo,3,No,Yes,Yes,13,1,Low,1,45,No
Australian Shepherd,Medium,Female,5,66,Spayed,Moderate,Home cooked,Special,5,No,Yes,No,11,1,Very Active,2,70,Yes
Siberian Husky,Medium,Male,7,42,Spayed,Low,Special diet,Wellness,5,Yes,Yes,No,12,1,Active,0,43,Yes
Golden Retriever,Large,Female,1,61,Neutered,Active,Special diet,Iams,3,No,Yes,No,10,1,Active,0,62,Yes
Poodle,Small,Female,6,45,Neutered,Moderate,Special diet,Hill's Science,3,No,Yes,Yes,11,3,Low,2,90,Yes
Yorkshire Terrier,Small,Male,8,22,None,Very Active,Home cooked,Special,6,No,Yes,No,10,2,None,0,77,No
Chihuahua,Small,Male,8,57,Spayed,Low,Wet food,Iams,1,No,No,No,12,3,Very Active,1,49,Yes
Great Dane,Large,Female,6.6,63,Spayed,Low,Hard food,Hill's Science,4,No,Yes,No,12,1,Active,3,57,Yes
Australian Shepherd,Medium,Female,1,53,Spayed,None,Hard food,Wellness,3,No,No,No,11,2,Low,0,70,No
Dachshund,Small,Male,10,55,None,Low,Home cooked,Special,5,No,Yes,No,13,2,Low,2,60,No
Great Dane,Large,Female,4,31,None,Active,Wet food,Hill's Science,2,Yes,No,No,13,0,Low,1,74,Yes
Doberman,Large,Female,10,42,Spayed,None,Home cooked,Special,4,No,No,No,9,4,None,1,56,Yes
Rottweiler,Large,Male,7,39,Spayed,Low,Hard food,Royal Canin,3,No,No,No,9,1,Low,2,70,Yes
Rottweiler,Large,Female,11,66,Spayed,None,Hard food,Nutro,2,Yes,Yes,No,11,2,Active,2,73,No
Boxer,Medium,Male,10,70,Neutered,Very Active,Special diet,Hill's Science,2,No,Yes,No,12,3,Very Active,1,59,Yes
Labrador Retriever,Large,Male,2,53,Neutered,Moderate,Special diet,Royal Canin,6,No,Yes,No,8,2,None,1,54,Yes
German Shepherd,Large,Female,3,70,Neutered,None,Home cooked,Special,1,Yes,Yes,No,12,0,Moderate,3,51,Yes
Chihuahua,Small,Female,1,60,Spayed,Low,Wet food,Wellness,3,No,Yes,No,11,2,Active,2,78,No
Bulldog,Medium,Female,11,45,None,None,Wet food,Wellness,0,Yes,No,No,8,1,Active,2,60,No
Doberman,Large,Female,7,35,Neutered,None,Home cooked,Special,2,No,Yes,No,9,2,Moderate,2,71,Yes
Labrador Retriever,Large,Female,4,81,Spayed,None,Home cooked,Special,3,Yes,No,No,12,2,Low,4,67,Yes
Yorkshire Terrier,Small,Male,3,62,None,None,Home cooked,Special,3,Yes,No,No,12,2,Very Active,1,44,Yes
Australian Shepherd,Medium,Female,2,40,Spayed,Moderate,Wet food,Iams,6,No,Yes,No,12,1,Moderate,1,53,Yes
Rottweiler,Large,Male,4,26,Neutered,Low,Special diet,Iams,0,No,No,No,9,1,Moderate,2,61,Yes
Bulldog,Medium,Female,12,47,None,Active,Special diet,Nutro,4,No,No,No,9,0,Active,1,57,Yes
Yorkshire Terrier,Small,Male,12,59,Neutered,Active,Wet food,Blue Buffalo,4,Yes,Yes,No,12,2,Low,3,57,Yes
